id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1.46E+18,1.46E+18,2021-11-07 07:51:16 Malay Peninsula Standard Time,11/7/2021,7:51:16,800,419823873,jeffgold81,Jeff Gold,,"At this point, any person who asks any form or ""If the vaccine works, how come you can still get Covid/spread Covid if vaccinated"" automatically has to be declared an idiot.  There can be other questions to ask about the vaccine (I suppose), but that no longer can be one of them.",en,[],[],[],0,0,3,[],[],https://twitter.com/JeffGold81/status/1457133511417204740,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:51:14 Malay Peninsula Standard Time,11/7/2021,7:51:14,800,102862675,mattnippert,Matt Nippert,,"Won’t take a Covid vaccine supported by published research, will swallow handfuls of dubious red pills on the recommendation of egg ilumniati88downfall.",en,[],[],[],4,12,155,[],[],https://twitter.com/MattNippert/status/1457133505347928065,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:51:12 Malay Peninsula Standard Time,11/7/2021,7:51:12,800,2868154422,laurendovale22,Lauren DoVale,,🇺🇸🚨Good hold the line 🚨🇺🇸 Emilio Estevez 'not returning' to The Mighty Ducks due to Disney's COVID-19 vaccine mandate | Daily Mail Online  https://t.co/dkaXCuH0ma,en,[],['https://www.dailymail.co.uk/tvshowbiz/article-10172497/Emilio-Estevez-not-returning-Mighty-Ducks-Disneys-COVID-19-vaccine-mandate.html'],[],0,0,1,[],[],https://twitter.com/LaurenDoVale22/status/1457133498364567554,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:51:04 Malay Peninsula Standard Time,11/7/2021,7:51:04,800,1900361119,jvb2065,Dacelo,,"Look around when you say anything about COVID policy. Vaccination, masks, sanitise, social distancing. If you disagree tell me about the deaths and the health workers need the long term disability.",en,[],[],[],0,0,0,[],[],https://twitter.com/jvb2065/status/1457133461773246466,FALSE,https://twitter.com/VincentRK/status/1456709897874251779,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:51:02 Malay Peninsula Standard Time,11/7/2021,7:51:02,800,1.25E+18,jankhan20104863,Jan Khan,,@theAliceRoberts Mélanie Macip 16 years old student – Died after COVID-19 Shot Pfizer vaccine! Melanie got her first Pfizer Vaccine on July 11th 2021. She suffered a cardiac arrest just two days later on July 13th. She slipped into a coma until she die,en,[],['https://nomoresilence.world/pfizer-biontech/melanie-macip-aged-16-pfizer-death/'],[],0,0,1,[],[],https://twitter.com/JanKhan20104863/status/1457133455649787906,FALSE,,0,,,,,,,,"[{'screen_name': 'theAliceRoberts', 'name': 'Prof Alice Roberts💙', 'id': '260211154'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:51:01 Malay Peninsula Standard Time,11/7/2021,7:51:01,800,1.33E+18,cnsrvtvcatholic,Catholic First.,,Does it make sense that more people have died from COVID under this administration than the last one? Even though this admin. has the vaccine?,en,[],[],[],0,0,0,[],[],https://twitter.com/cnsrvtvcatholic/status/1457133451312836612,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:50:57 Malay Peninsula Standard Time,11/7/2021,7:50:57,800,8.16E+17,finsup1313,Mike Oliver,,"@theCNewsDaily @PurpleVIKodin @FFandSaints1 @Prevea Way I did say that, .i got vaccinated and I didn’t pay a dollar for it. I’m guessing your one of these anti vaxers huh? It’s a shame to. My grandmother died of covid if the vaccine was a around she",en,[],[],[],1,0,3,[],[],https://twitter.com/finsup1313/status/1457133433025712130,FALSE,,0,,,,,,,,"[{'screen_name': 'theCNewsDaily', 'name': 'Stone Cold Truth', 'id': '893700436766715904'}, {'screen_name': 'PurpleVIKodin', 'name': '🤷\u200d♀️', 'id': '157791510'}, {'screen_name': 'FFandSaints1', 'name': 'FFandSaints1', 'id': '4092557474'}, {'screen_name': 'Prevea', 'name': 'Prevea Health', 'id': '125366772'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:50:55 Malay Peninsula Standard Time,11/7/2021,7:50:55,800,3127471287,porkchopsuit,K Shelton,,"@SiaElliott @eliwillard @carvealittlez @gtgeric @Zeddary @ckparrot “As with other disease, it is much safer to get the vaccine and prevent COVID-19, a disease that puts one at risk of hospitalization, death and long-running after-effects.”            ",en,[],[],[],7,0,1,[],[],https://twitter.com/porkchopsuit/status/1457133427002576897,FALSE,,0,,,,,,,,"[{'screen_name': 'SiaElliott', 'name': 'Elliott', 'id': '414999435'}, {'screen_name': 'eliwillard', 'name': 'M', 'id': '81439547'}, {'screen_name': 'carvealittlez', 'name': 'inthisstyle10/6', 'id': '940589555912204288'}, {'screen_name': 'gtgeric', 'name': 'Eric Gafford', 'id': '954612758'}, {'screen_name': 'Zeddary', 'name': 'zeddy', 'id': '322735335'}, {'screen_name': 'ckparrot', 'name': 'Chris Kouffman', 'id': '44442179'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:50:51 Malay Peninsula Standard Time,11/7/2021,7:50:51,800,262865354,wickedsmaaaht,Wicked Sarduakar,,🤣🤣🤣🤣🤣🤣🤣🤣🤣  The Daily Beast: Newsmax to Implement COVID-19 Vaccine Mandate After Weeks of Attacking Vaccine Mandates.  https://t.co/RsmpLpLfKt  via @GoogleNews,en,"[{'screen_name': 'googlenews', 'name': 'google news', 'id': '33584794'}]",['https://www.thedailybeast.com/newsmax-to-implement-covid-19-vaccine-mandate-after-weeks-of-attacking-vaccine-mandates?source=cheats&via=rss'],[],0,0,0,[],[],https://twitter.com/WickedSmaaaht/status/1457133409751478282,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:50:51 Malay Peninsula Standard Time,11/7/2021,7:50:51,800,1.37E+18,getintolink,Get Into Link,,COVID-19 vaccination card: How to add to your iPhone’s Apple Wallet  https://t.co/yLTvCbqCLJ,en,[],['https://getintolink.com/covid-19-vaccination-card-how-to-add-to-your-iphones-apple-wallet/'],[],0,0,0,[],[],https://twitter.com/GetintoLink/status/1457133409403379717,FALSE,,0,,,,,,,,[],,,,
1.46E+18,1.46E+18,2021-11-07 07:50:51 Malay Peninsula Standard Time,11/7/2021,7:50:51,800,1.33E+18,truthsurrogate,@CaptainObvious,,"@RosieB2019 @BuckSexton @PrincessofWails Strange, that's exactly what the news keeps saying and the news is funded by big pharma who created the ""free"" Covid-19 vaccines. Everyone I know who has been hospitalized recently, has been fully vaccinated with P",en,[],[],[],0,1,1,[],[],https://twitter.com/TruthSurrogate/status/1457133407109009418,FALSE,,0,,,,,,,,"[{'screen_name': 'RosieB2019', 'name': 'Rosie Barrett', 'id': '1085359921963716610'}, {'screen_name': 'BuckSexton', 'name': 'Buck Sexton', 'id': '334715818'}, {'screen_name': 'PrincessofWails', 'name': 'Zena Woodley', 'id': '22789029'}]",,,,
1.46E+18,1.46E+18,2021-11-07 07:50:47 Malay Peninsula Standard Time,11/7/2021,7:50:47,800,8.88E+17,ajai_dandekar,Ajai Dandekar,,"Youngest kid (who declined to be photographed) now has received the first Covid-19 vaccine dose!   ""That wasn't bad at all.""",en,[],[],[],1,0,45,[],[],https://twitter.com/ajai_dandekar/status/1457133390658871297,FALSE,,0,,,,,,,,[],,,,
